,cols,mod_hp,max_accu,max_auc_sc,max_bal_acc,max_brier_lss,max_f_acc,max_log_lss,mdn_accu,mdn_auc_sc,mdn_bal_acc,mdn_brier_lss,mdn_f_acc,mdn_log_lss,mean_accu,mean_auc_sc,mean_bal_acc,mean_brier_lss,mean_f_acc,mean_log_lss,min_accu,min_auc_sc,min_bal_acc,min_brier_lss,min_f_acc,min_log_lss,std_accu,std_auc_sc,std_bal_acc,std_brier_lss,std_f_acc,std_log_lss,win_perc,mean_rank,min_rank,max_rank
9737,"['diff', 'game_time']",lda0.0,0.7785333333333333,0.8443333333333335,0.7786333333333332,0.2384666666666667,0.7836,0.6845333333333333,0.6643666666666667,0.7428,0.6606,0.22193333333333332,0.6744333333333333,0.6381666666666667,0.6619533333333333,0.7448026666666667,0.6623053333333333,0.21876933333333334,0.6739319999999999,0.6289266666666667,0.5501999999999999,0.6267666666666667,0.5480999999999999,0.18336666666666668,0.5333666666666667,0.5448333333333334,0.058189339437158094,0.05281622400140846,0.05607582516016361,0.014036337900082041,0.06570681635480144,0.03356998909052767,0.5633333333333334,6631.414400925579,3855.3726176525015,7954.60930038811
6836,"['diff', 'game_time', 'weekday', 'elo']",knn37.0,0.782,0.8286666666666666,0.7797666666666666,0.24293333333333333,0.7779000000000001,0.6845333333333334,0.6678333333333333,0.7316666666666668,0.6657000000000001,0.21276666666666666,0.6435,0.6157333333333334,0.6656706666666666,0.7389426666666666,0.6647413333333333,0.21141466666666667,0.6309693333333334,0.6121573333333333,0.5361666666666667,0.6244333333333333,0.5635333333333333,0.17489999999999997,0.44813333333333333,0.5278666666666667,0.05802764031829725,0.051647844937815955,0.0546850521271448,0.017235837108647987,0.08362154170405083,0.03820507278740191,0.433,6607.296593731922,5179.125161907112,8540.157707313108
6447,"['diff', 'color', 'time']",knn36.0,0.7662,0.8421333333333333,0.7662999999999999,0.2436666666666667,0.7597666666666667,0.6846333333333333,0.6696,0.7423333333333334,0.6684666666666667,0.20506666666666665,0.6607666666666666,0.5971333333333334,0.666092,0.7391039999999999,0.6658706666666667,0.2063786666666667,0.6523733333333334,0.6012746666666667,0.5502333333333334,0.6133666666666667,0.5630000000000001,0.1693,0.492,0.5133666666666666,0.05769164577342737,0.05936836940472287,0.056555005361177545,0.02089177480562347,0.0686231312184652,0.04798456825582862,0.48266666666666663,3849.023377684009,4262.528526491088,10948.625744213929
4987,"['diff', 'color', 'weekday', 'game_num']",knn36.0,0.7679666666666667,0.8332666666666667,0.7702666666666667,0.2415333333333333,0.7698666666666667,0.6847666666666666,0.6678333333333333,0.7428333333333333,0.6676000000000001,0.20543333333333336,0.6496,0.5985999999999999,0.6677959999999997,0.7391893333333334,0.6671653333333332,0.20614933333333338,0.6472546666666666,0.6008186666666666,0.5748000000000001,0.6201333333333333,0.5722333333333333,0.1707666666666667,0.5205000000000001,0.5192333333333333,0.055081778561847254,0.05567156146279096,0.053612992396818375,0.020555209182548908,0.06662431918971114,0.04669519467148419,0.4643333333333333,3664.298839622962,2497.619579966694,10506.547431572959
5371,"['diff', 'color', 'time', 'game_time', 'weekday', 'elo']",knn39.0,0.7872333333333333,0.8355,0.7858999999999999,0.24303333333333332,0.7831,0.6847666666666666,0.6661,0.7391,0.6614,0.21136666666666667,0.6338333333333334,0.6103,0.6673520000000001,0.7419613333333336,0.6667666666666667,0.21087599999999998,0.6338533333333332,0.6109373333333333,0.5379333333333333,0.6268666666666667,0.5621333333333333,0.17553333333333332,0.45426666666666665,0.5295666666666666,0.05956682739215089,0.05141765901352208,0.056662912532475525,0.017134920955801564,0.08502093517223974,0.037739489463637504,0.43599999999999994,5515.385204342056,5049.262166162956,7585.246149391422
4465,"['diff', 'time', 'weekday']",knn39.0,0.7732333333333333,0.8410333333333334,0.7733666666666666,0.24336666666666665,0.7713666666666666,0.6848666666666667,0.6678333333333333,0.7403666666666666,0.6642,0.2049,0.6625333333333333,0.5963333333333333,0.6684186666666664,0.7394853333333334,0.6682360000000002,0.20579066666666668,0.6621866666666667,0.5997093333333333,0.5555,0.6002333333333333,0.5593333333333333,0.1691666666666667,0.5187,0.5139333333333335,0.05952749378502719,0.05980061708720472,0.0594706207285886,0.020187981385203554,0.06700593057367898,0.045780930167096535,0.503,2597.3091843332086,4140.787870844386,8095.6524444760535
11532,"['diff', 'color']",knn33.0,0.7557,0.8333333333333334,0.7555,0.24266666666666667,0.7600000000000001,0.6849333333333334,0.6661,0.7436666666666666,0.6577000000000001,0.20463333333333333,0.6583,0.5973999999999999,0.6586586666666667,0.7359453333333333,0.6585346666666667,0.20655199999999999,0.6496879999999999,0.6012173333333334,0.5274,0.6246999999999999,0.5392666666666667,0.1691666666666667,0.5137666666666667,0.5112333333333333,0.060053389189442315,0.058078690888473304,0.05983916040998091,0.020440902940897187,0.06436670524837418,0.04751480429997237,0.4923333333333333,5959.778133188144,6118.011009683588,13080.141426045964
6271,"['diff', 'time', 'game_num']",knn36.0,0.7715333333333333,0.8411666666666666,0.773,0.24263333333333334,0.7608666666666667,0.6849333333333334,0.6713666666666667,0.7433000000000001,0.6633666666666667,0.20556666666666668,0.6641666666666667,0.5985666666666666,0.6663039999999999,0.7383333333333334,0.6654133333333333,0.20638000000000004,0.6516306666666667,0.6010986666666667,0.5642333333333333,0.6013999999999999,0.5603333333333333,0.16896666666666668,0.5045333333333334,0.5146999999999999,0.05832639850242711,0.05910069319183683,0.05775254989965741,0.02046831186212178,0.06797136937479875,0.04664773874956941,0.4789999999999999,3991.4970905502432,3987.785650403998,9332.930323288563
7790,['diff'],knn35.0,0.7539333333333333,0.8365999999999999,0.7583666666666667,0.24293333333333333,0.7603,0.6850666666666667,0.6766,0.7472333333333334,0.6682333333333333,0.2049,0.6647,0.6006,0.664484,0.7367093333333333,0.6642399999999999,0.20620399999999997,0.6557386666666667,0.6002946666666666,0.5344000000000001,0.6145999999999999,0.5463,0.16856666666666667,0.5272,0.5117333333333334,0.058239707550513255,0.059390303256410905,0.05764717047017925,0.020581234699030965,0.0620024558601443,0.04733293011574871,0.49333333333333335,4275.9085650117395,5422.795364830692,12726.83348403877
5675,"['diff', 'color', 'time', 'game_num']",knn39.0,0.7697333333333334,0.8366000000000001,0.7693666666666666,0.24300000000000002,0.7649333333333334,0.6850666666666667,0.6660666666666667,0.7417333333333334,0.6664,0.20540000000000003,0.6621666666666667,0.5982333333333333,0.6669973333333333,0.7401893333333334,0.6666626666666667,0.2060666666666667,0.6614106666666667,0.6001373333333332,0.5659666666666666,0.6113333333333334,0.5594666666666667,0.1683,0.5138666666666667,0.5119333333333334,0.05719366026918776,0.05636111139877298,0.05759377832221119,0.020173939576596585,0.06586598414965363,0.04620164494468154,0.5053333333333333,3025.355599414707,3719.4650897428,9503.843623636032
6597,"['diff', 'color', 'time', 'game_time', 'elo']",knn38.0,0.7714666666666666,0.8380000000000001,0.7680333333333333,0.2431,0.7609333333333334,0.6851333333333334,0.6608333333333333,0.7336333333333332,0.6561333333333333,0.21136666666666667,0.6176,0.6105,0.6659533333333333,0.7428040000000001,0.6647679999999999,0.21056666666666668,0.6220346666666666,0.610244,0.5449666666666667,0.6261,0.5721333333333333,0.17546666666666666,0.44073333333333337,0.5294,0.05596421976467991,0.049797995111532,0.0522410069199035,0.016991708023994054,0.08216110391937786,0.03758616481026874,0.4096666666666667,6295.462279239119,4514.415515327207,12111.228232377625
7435,"['diff', 'time']",knn39.0,0.7679666666666667,0.8423333333333334,0.7704666666666666,0.24403333333333332,0.7716666666666666,0.6851666666666668,0.6573333333333333,0.7430333333333333,0.6615000000000001,0.20610000000000003,0.6670333333333334,0.5980333333333333,0.6649706666666665,0.7402386666666668,0.665244,0.20586799999999997,0.6600026666666667,0.5995,0.5572333333333334,0.5982,0.5527333333333334,0.16913333333333336,0.5206333333333334,0.5139999999999999,0.0569454213134159,0.05990319785220646,0.056803127455056134,0.020600703061461043,0.06529250848306449,0.04678425629594422,0.507,3601.145914860312,4584.210972676249,8862.662050677667
12437,"['diff', 'time', 'game_time', 'weekday']",lda0.0,0.7802333333333333,0.8471333333333333,0.7805,0.24136666666666665,0.7782333333333334,0.6852666666666667,0.6503,0.7376,0.6549333333333334,0.22356666666666666,0.6701999999999999,0.6401333333333333,0.6568186666666667,0.7338533333333332,0.6565493333333334,0.21984666666666663,0.6676013333333334,0.631176,0.5167666666666667,0.6022,0.5108,0.18376666666666666,0.5204,0.5442333333333333,0.058891364137558196,0.05652338875418441,0.058543304433816924,0.014689161147221456,0.06715262030532095,0.03451127431653153,0.5583333333333335,9079.997107564568,7370.834746808118,7608.115487777621
7537,"['diff', 'game_time', 'elo']",knn38.0,0.7855333333333333,0.8360333333333334,0.7781666666666666,0.24323333333333333,0.7857333333333333,0.6852666666666667,0.6696,0.7361333333333334,0.6586,0.21196666666666666,0.6203666666666666,0.6123,0.6648266666666667,0.7395186666666668,0.6635813333333332,0.21121733333333337,0.6190133333333334,0.6118866666666667,0.5168666666666667,0.6265999999999999,0.5461666666666667,0.1742,0.4304666666666666,0.5266333333333334,0.061820967117628196,0.05206528696655047,0.057742976496182076,0.017227996263284074,0.08992732652028741,0.03824431110119359,0.407,7283.3097968489465,7217.926972182817,7774.921641639405
8256,['diff'],knn33.0,0.7557,0.8350666666666666,0.7597,0.24339999999999998,0.7681333333333334,0.6852666666666667,0.6696,0.7481333333333334,0.6645666666666666,0.2048,0.6646,0.5988666666666667,0.6638573333333334,0.7365679999999998,0.6634733333333332,0.20632800000000004,0.6552760000000001,0.600676,0.5309333333333334,0.6205666666666666,0.5384666666666666,0.16856666666666667,0.5300666666666666,0.5108,0.05893407179805799,0.05838350060381863,0.0582558617767359,0.02074292959130361,0.06228564369623724,0.047952011364441764,0.49433333333333335,4527.537686732228,5946.214072040956,11683.991653628107
9473,"['diff', 'color', 'time', 'game_time', 'weekday', 'elo']",knn38.0,0.7802333333333333,0.8390666666666666,0.7776666666666667,0.24293333333333333,0.7686999999999999,0.6852999999999999,0.6555666666666666,0.7408,0.6564333333333333,0.21196666666666666,0.6136666666666667,0.6130333333333333,0.662372,0.7412933333333332,0.6608893333333333,0.21106933333333336,0.6185466666666667,0.6113133333333334,0.5344333333333333,0.6246666666666666,0.5580666666666666,0.17526666666666668,0.44469999999999993,0.5288333333333333,0.058588766380050866,0.05291387421900309,0.055668180629991036,0.017392535878956932,0.08428346466532566,0.03829091484677208,0.411,7727.792050906863,5603.18687164621,9342.451435596286
8389,"['diff', 'time', 'weekday', 'game_num']",knn37.0,0.7627,0.8357333333333333,0.7629333333333334,0.24263333333333334,0.7659666666666668,0.6853666666666666,0.6643333333333333,0.7392,0.6681333333333334,0.20576666666666665,0.6645,0.6001666666666666,0.6637013333333334,0.7365173333333334,0.6635506666666666,0.20681333333333338,0.6562239999999999,0.6021426666666666,0.5519666666666666,0.6109,0.5558333333333333,0.1704,0.5247,0.5175333333333333,0.05499709380810549,0.05779023181591103,0.05472951131320966,0.02042880526562234,0.062387672640690194,0.04655564436108119,0.4996666666666667,4522.356824446183,4099.7983870967755,12107.12108589194
6371,"['diff', 'color', 'game_num']",knn34.0,0.7662,0.8388333333333332,0.7685333333333334,0.2422666666666667,0.7616333333333333,0.6854333333333334,0.6643333333333333,0.7447,0.6611333333333334,0.20453333333333334,0.6531333333333333,0.5965,0.6661760000000001,0.7394266666666667,0.6658373333333333,0.2057146666666667,0.6469093333333333,0.5994733333333333,0.5432,0.6175666666666667,0.5595333333333333,0.16806666666666667,0.4984,0.5100666666666666,0.05942616269111134,0.058417070343185384,0.05732898680695602,0.020875933638457495,0.06791643045773142,0.04813432592301837,0.4653333333333333,4082.430156191513,4426.864244741874,10154.826341617054
7889,"['diff', 'time', 'game_time', 'weekday', 'elo', 'game_num']",knn38.0,0.7732333333333333,0.8365999999999999,0.7702666666666667,0.2437666666666667,0.7691333333333333,0.6854666666666667,0.6573,0.7375000000000002,0.6509333333333333,0.21243333333333334,0.6191,0.6133666666666667,0.664336,0.7396759999999999,0.66326,0.21124800000000002,0.6194186666666667,0.611744,0.5379333333333334,0.6263333333333333,0.5735333333333332,0.17503333333333335,0.44093333333333334,0.5287333333333333,0.05793905015079695,0.05231064583145251,0.05390054142277522,0.017436276317230947,0.08554239917575872,0.03835864849132014,0.4080000000000001,7361.558682410589,4816.169894529082,10731.973767094061
6487,"['diff', 'color', 'game_num']",knn39.0,0.7679666666666667,0.8424666666666667,0.7670666666666667,0.2423666666666667,0.7694,0.6855333333333333,0.6748666666666666,0.7493,0.6671999999999999,0.20566666666666666,0.6562333333333333,0.5988666666666667,0.666028,0.7428226666666667,0.6658866666666667,0.20496266666666665,0.656024,0.5975706666666666,0.5607333333333333,0.6296333333333334,0.5567,0.16746666666666665,0.5204333333333334,0.5087333333333334,0.05847778610291884,0.05691560116573285,0.05837507663371027,0.020507521323155295,0.06859827069289484,0.046715794585873945,0.49300000000000005,3228.4811311123963,3434.1442823660036,8677.933803060168
10016,"['diff', 'color', 'game_time', 'weekday', 'elo']",knn38.0,0.7855,0.8319,0.7803999999999999,0.24350000000000002,0.7889333333333334,0.6855666666666668,0.6590666666666667,0.7347,0.6558333333333334,0.21219999999999997,0.6101,0.6124999999999999,0.6613813333333333,0.738852,0.6600919999999999,0.21127466666666664,0.6152133333333333,0.6118359999999999,0.5098333333333334,0.6249666666666668,0.5402666666666667,0.17489999999999997,0.41206666666666664,0.5283,0.060647928785806576,0.05169092965384566,0.05591348663841231,0.017223843656838,0.08889736985539143,0.03817030541227426,0.4076666666666667,8302.153162963214,8131.501341516069,7809.36566557617
5496,"['diff', 'color', 'time']",knn38.0,0.7714666666666666,0.8436,0.7679999999999999,0.24386666666666668,0.7618666666666667,0.6857000000000001,0.6696,0.7411,0.6648999999999999,0.2061333333333333,0.6632,0.5989333333333334,0.6672159999999999,0.7402266666666666,0.6668373333333332,0.20598400000000003,0.6535200000000001,0.6000546666666667,0.5607333333333334,0.5970666666666667,0.5567,0.1691,0.5252333333333333,0.5138333333333334,0.05620928118743466,0.06099174964026688,0.05487834216435226,0.020699974047381105,0.06472653695262247,0.047211226583156934,0.48166666666666663,3359.074590805458,4182.910704373035,9668.31617154004
