,result,diff,elo,opp_elo,game_time,color,start_time,day,weekday
271,1.0,31,796,765,600.0,1,-112.8611111111111,22,0
272,1.0,52,803,751,600.0,0,-123.94444444444443,22,0
273,1.0,20,811,791,600.0,1,-259.4166666666667,22,0
274,1.0,14,819,805,600.0,1,-78.05555555555554,22,0
275,0.0,-3,811,814,600.0,1,-329.88888888888886,22,0
276,0.5,33,810,777,600.0,0,-296.47222222222223,23,1
277,0.0,-35,802,837,600.0,0,-155.69444444444443,23,1
278,1.0,-20,811,831,600.0,1,-243.77777777777774,23,1
279,1.0,-28,820,848,600.0,1,-169.94444444444443,23,1
280,1.0,10,828,818,600.0,0,-267.0,23,1
281,0.0,-24,820,844,600.0,0,-94.9722222222222,23,1
282,1.0,2,828,826,600.0,0,-279.13888888888886,23,1
283,0.0,41,819,778,600.0,1,-223.91666666666663,23,1
284,1.0,-4,828,832,600.0,1,-155.86111111111111,24,2
285,1.0,56,835,779,600.0,0,-131.33333333333331,24,2
286,1.0,-19,844,863,600.0,1,-121.80555555555554,24,2
287,0.0,-51,837,888,600.0,0,-248.49999999999997,24,2
288,0.0,-94,831,925,600.0,0,-123.3611111111111,24,2
289,0.0,-72,824,896,600.0,1,-203.6111111111111,24,2
290,0.0,7,815,808,600.0,1,-243.86111111111106,24,2
291,1.0,-14,824,838,600.0,1,-6.888888888888869,25,3
292,0.0,-33,816,849,600.0,0,-240.33333333333334,25,3
293,0.0,-14,808,822,600.0,0,-118.4722222222222,25,3
294,1.0,27,816,789,600.0,1,-196.33333333333331,25,3
295,0.0,-8,808,816,600.0,1,-298.91666666666663,25,3
296,0.0,19,799,780,600.0,0,-175.55555555555554,25,3
297,0.5,-69,801,870,600.0,1,-95.33333333333331,25,3
298,0.0,12,792,780,600.0,1,-167.83333333333334,25,3
299,1.0,25,800,775,600.0,0,-237.49999999999997,25,3
300,0.0,29,791,762,600.0,0,-190.16666666666663,25,3
301,0.0,-4,783,787,600.0,0,-216.58333333333334,29,0
302,1.0,34,791,757,600.0,1,-23.111111111111114,29,0
