,date,result,white_elo,black_elo,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,white_max_move,black_max_move,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff
514,2017-07-17,1.0,845,922,300,15923.888888888889,38,0,6,0,17,19,0,0,-1,250,300,15771.111111111111,38,6.578947368421052,7.894736842105263,26.299999999999983,17.30000000000001,17.30000000000001,26.299999999999983,922,845,7.0,915.0,838.0,77
515,2017-07-17,0.0,914,930,300,17726.944444444445,57,1,8,0,17,0,11,-1,1,280,300,17565.833333333336,57,4.912280701754386,5.2631578947368425,22.099999999999994,16.19999999999999,22.099999999999994,16.19999999999999,914,930,-8.0,922.0,938.0,-16
516,2017-07-17,0.0,907,958,600,18731.11111111111,61,1,6,0,17,17,14,1,1,600,470,18433.888888888887,61,9.836065573770492,7.704918032786885,78.0,37.89999999999998,78.0,37.89999999999998,907,958,-7.0,914.0,965.0,-51
517,2017-07-17,1.0,914,860,600,19811.944444444445,30,1,6,0,17,10,9,1,1,400,600,19534.166666666668,29,13.333333333333334,20.689655172413794,57.80000000000001,142.3,57.80000000000001,142.3,914,860,7.0,907.0,853.0,54
518,2017-07-18,0.0,906,936,600,8951.111111111111,59,1,6,1,18,0,0,-1,-1,600,530,8637.222222222223,59,10.169491525423728,8.983050847457626,54.89999999999998,50.5,54.89999999999998,50.5,906,936,-8.0,914.0,944.0,-30
519,2017-07-18,0.0,899,959,300,9198.333333333334,42,1,7,1,18,16,11,1,1,210,160,9095.555555555557,42,5.0,3.8095238095238093,36.69999999999999,9.600000000000023,36.69999999999999,9.600000000000023,899,959,-7.0,906.0,966.0,-60
520,2017-07-18,0.0,939,892,600,12743.055555555555,45,0,6,1,18,10,0,1,-1,600,540,12426.388888888889,46,13.333333333333334,11.73913043478261,44.30000000000001,48.69999999999999,48.69999999999999,44.30000000000001,892,939,-7.0,899.0,946.0,-47
521,2017-07-18,1.0,887,900,600,14755.277777777777,57,0,7,1,18,8,19,1,0,410,500,14502.5,57,7.192982456140351,8.771929824561404,37.39999999999998,45.200000000000045,45.200000000000045,37.39999999999998,900,887,8.0,892.0,879.0,13
522,2017-07-18,0.0,1004,894,600,18423.88888888889,68,0,8,1,18,10,10,1,1,490,460,18160.0,69,7.205882352941177,6.666666666666667,30.900000000000034,44.30000000000001,44.30000000000001,30.900000000000034,894,1004,-6.0,900.0,1010.0,-110
523,2017-07-19,0.0,886,905,600,8793.333333333334,14,1,8,2,19,0,13,-1,0,100,80,8743.333333333334,14,7.142857142857143,5.714285714285714,35.5,15.200000000000045,35.5,15.200000000000045,886,905,-8.0,894.0,913.0,-19
524,2017-07-19,0.0,906,878,600,8968.055555555555,30,0,7,2,19,0,0,-1,-1,350,230,8806.944444444443,31,11.666666666666666,7.419354838709677,23.100000000000023,65.80000000000001,65.80000000000001,23.100000000000023,878,906,-8.0,886.0,914.0,-28
525,2017-07-19,0.0,941,871,600,9036.666666666666,13,0,8,2,19,0,0,-1,-1,100,140,8970.0,14,7.6923076923076925,10.0,34.099999999999966,26.699999999999932,26.699999999999932,34.099999999999966,871,941,-7.0,878.0,948.0,-70
526,2017-07-19,0.0,906,864,600,18220.833333333332,25,0,8,2,19,0,0,-1,-1,200,280,18087.5,26,8.0,10.76923076923077,42.700000000000045,40.89999999999998,40.89999999999998,42.700000000000045,864,906,-7.0,871.0,913.0,-42
527,2017-07-20,1.0,872,835,600,10258.333333333334,58,1,7,3,20,13,11,0,1,570,370,9997.222222222223,57,9.827586206896552,6.491228070175438,56.60000000000002,29.700000000000045,56.60000000000002,29.700000000000045,872,835,8.0,864.0,827.0,37
528,2017-07-20,1.0,881,888,600,14077.5,30,1,6,3,20,0,0,-1,-1,320,600,13821.944444444445,29,10.666666666666666,20.689655172413794,32.49999999999994,101.79999999999995,32.49999999999994,101.79999999999995,881,888,9.0,872.0,879.0,-7
529,2017-07-20,1.0,890,899,600,18645.833333333332,41,1,7,3,20,8,6,1,1,430,500,18387.5,40,10.487804878048781,12.5,45.89999999999998,62.19999999999999,45.89999999999998,62.19999999999999,890,899,9.0,881.0,890.0,-9
530,2017-07-20,1.0,898,866,600,23550.0,46,1,6,3,20,16,0,1,-1,390,600,23275.0,45,8.478260869565217,13.333333333333334,36.69999999999999,43.599999999999966,36.69999999999999,43.599999999999966,898,866,8.0,890.0,858.0,32
531,2017-07-20,0.0,891,962,600,23816.11111111111,27,1,8,3,20,8,10,1,0,460,450,23563.333333333332,27,17.037037037037038,16.666666666666668,65.59999999999997,67.0,65.59999999999997,67.0,891,962,-7.0,898.0,969.0,-71
532,2017-07-21,0.0,809,881,600,14888.055555555555,12,0,2,4,21,0,9,-1,1,70,50,14854.72222222222,13,5.833333333333333,3.8461538461538463,13.5,14.200000000000045,14.200000000000045,13.5,881,809,-10.0,891.0,819.0,72
533,2017-07-21,0.0,873,897,600,17677.777777777777,50,1,7,4,21,14,0,1,-1,490,270,17466.666666666668,50,9.8,5.4,60.400000000000034,20.400000000000034,60.400000000000034,20.400000000000034,873,897,-8.0,881.0,905.0,-24
534,2017-07-21,1.0,773,879,600,19076.666666666668,25,0,7,4,21,14,9,1,1,160,260,18960.0,26,6.4,10.0,57.80000000000001,23.700000000000045,23.700000000000045,57.80000000000001,879,773,6.0,873.0,767.0,106
535,2017-07-22,1.0,886,887,600,10046.944444444445,47,0,7,5,22,14,0,1,-1,480,580,9752.5,48,10.212765957446809,12.083333333333334,58.80000000000001,31.69999999999999,31.69999999999999,58.80000000000001,887,886,8.0,879.0,878.0,1
536,2017-07-22,0.0,992,881,600,23261.38888888889,25,0,8,5,22,0,11,-1,1,330,170,23122.5,26,13.2,6.538461538461538,27.200000000000045,86.80000000000001,86.80000000000001,27.200000000000045,881,992,-6.0,887.0,998.0,-111
537,2017-07-23,1.0,891,952,600,16766.11111111111,46,1,2,6,23,14,11,1,1,280,240,16621.666666666664,45,6.086956521739131,5.333333333333333,26.799999999999955,26.0,26.799999999999955,26.0,891,952,10.0,881.0,942.0,-61
538,2017-07-23,0.5,892,936,600,17581.666666666668,66,1,5,6,23,0,0,-1,-1,590,560,17262.222222222223,66,8.93939393939394,8.484848484848484,38.80000000000007,40.89999999999998,38.80000000000007,40.89999999999998,892,936,1.0,891.0,935.0,-44
539,2017-07-23,0.5,820,890,600,18262.222222222223,68,0,5,6,23,11,13,1,1,500,320,18034.444444444445,68,7.352941176470588,4.705882352941177,20.900000000000034,30.199999999999932,30.199999999999932,20.900000000000034,890,820,-2.0,892.0,822.0,70
540,2017-07-23,0.0,922,883,600,21273.61111111111,24,0,8,6,23,0,8,-1,1,240,130,21170.833333333332,25,10.0,5.2,16.0,35.799999999999955,35.799999999999955,16.0,883,922,-7.0,890.0,929.0,-39
541,2017-07-23,0.5,884,904,600,21594.166666666668,76,1,3,6,23,0,13,-1,1,540,540,21294.166666666668,75,7.105263157894737,7.2,39.50000000000006,43.69999999999999,39.50000000000006,43.69999999999999,884,904,1.0,883.0,903.0,-20
542,2017-07-23,0.0,877,917,600,21776.38888888889,31,1,8,6,23,0,0,-1,-1,350,260,21606.944444444445,31,11.290322580645162,8.387096774193548,79.89999999999998,48.200000000000045,79.89999999999998,48.200000000000045,877,917,-7.0,884.0,924.0,-40
543,2017-07-23,0.0,869,891,600,23345.555555555555,32,1,8,6,23,0,0,-1,-1,440,540,23073.333333333332,32,13.75,16.875,63.39999999999998,81.90000000000003,63.39999999999998,81.90000000000003,869,891,-8.0,877.0,899.0,-22
544,2017-07-24,0.0,861,896,600,16455.0,42,1,6,0,24,10,0,1,-1,600,590,16124.444444444445,42,14.285714285714286,14.047619047619047,81.0,89.70000000000005,81.0,89.70000000000005,861,896,-8.0,869.0,904.0,-35
