,date,day,weekday,start_time,game_time,color,elo,opp_elo,diff,result,won_by,num_moves,opp_num_moves,avg_time,opp_avg_time,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,max_move,opp_max_move
1495,2018-05-17,17,3,11880.833333333334,180,0,868.0,941.0,-73,0.0,6,36,37,5.0,2.972972972972973,10,4,1,1,180,110,21.0,15.400000000000006
1496,2018-05-17,17,3,14746.388888888889,180,0,861.0,924.0,-63,0.0,8,21,22,4.285714285714286,2.272727272727273,10,0,0,-1,90,50,29.200000000000003,6.5
1497,2018-05-17,17,3,18620.0,600,0,854.0,862.0,-8,1.0,7,57,58,7.192982456140351,10.172413793103448,13,11,0,1,410,590,37.30000000000001,58.599999999999966
1498,2018-05-18,18,4,8473.611111111111,600,1,863.0,802.0,61,0.0,8,35,35,12.285714285714286,9.428571428571429,13,0,1,-1,430,330,56.299999999999955,50.10000000000002
1499,2018-05-18,18,4,9323.333333333334,300,1,853.0,912.0,-59,1.0,8,31,30,5.806451612903226,9.666666666666666,15,7,1,0,180,290,27.900000000000006,40.599999999999994
1500,2018-05-18,18,4,12113.333333333334,600,1,863.0,904.0,-41,0.0,8,56,56,7.142857142857143,9.642857142857142,23,28,1,1,400,540,43.19999999999999,54.39999999999998
1501,2018-05-18,18,4,13071.111111111111,180,0,856.0,852.0,4,1.0,7,13,13,1.5384615384615385,3.076923076923077,0,0,-1,-1,20,40,5.099999999999994,8.599999999999994
1502,2018-05-18,18,4,13101.944444444443,180,1,864.0,939.0,-75,1.0,6,45,44,3.7777777777777777,4.090909090909091,16,15,1,1,170,180,16.400000000000006,12.900000000000006
1503,2018-05-18,18,4,13642.5,180,1,874.0,890.0,-16,0.0,8,38,38,4.2105263157894735,4.2105263157894735,16,6,0,1,160,160,12.5,14.699999999999989
1504,2018-05-18,18,4,18511.944444444445,600,0,866.0,899.0,-33,0.0,8,35,36,12.857142857142858,7.5,0,0,-1,-1,450,270,57.10000000000002,28.899999999999977
1505,2018-05-19,19,5,11225.0,600,0,858.0,862.0,-4,1.0,7,46,46,8.043478260869565,12.173913043478262,0,0,-1,-1,370,560,33.5,51.80000000000007
1506,2018-05-19,19,5,11520.277777777777,600,1,867.0,841.0,26,1.0,2,38,37,6.052631578947368,7.837837837837838,10,9,0,1,230,290,22.399999999999977,20.600000000000023
1507,2018-05-19,19,5,11826.666666666668,300,0,875.0,963.0,-88,0.0,8,48,49,5.208333333333333,4.285714285714286,19,20,1,1,250,210,25.100000000000023,27.100000000000023
1508,2018-05-19,19,5,12258.333333333332,300,0,869.0,884.0,-15,1.0,6,45,45,6.0,6.666666666666667,16,13,0,1,270,300,31.0,23.400000000000006
1509,2018-05-19,19,5,12554.166666666666,600,0,878.0,948.0,-70,0.0,8,77,78,6.4935064935064934,7.17948717948718,7,14,0,1,500,560,35.39999999999998,50.80000000000001
1510,2018-05-19,19,5,13043.611111111111,600,1,871.0,837.0,34,1.0,8,47,46,12.340425531914894,12.173913043478262,16,25,0,0,580,560,51.30000000000001,46.30000000000001
1511,2018-05-19,19,5,19351.666666666668,600,0,879.0,865.0,14,0.0,6,37,38,16.216216216216218,10.263157894736842,0,9,-1,0,600,390,49.19999999999999,26.69999999999999
1512,2018-05-19,19,5,20680.833333333332,600,1,870.0,865.0,5,0.0,8,66,66,8.181818181818182,6.515151515151516,9,22,1,1,540,430,35.69999999999999,19.899999999999977
1513,2018-05-20,20,6,11333.055555555555,600,1,861.0,783.0,78,1.0,8,23,22,4.3478260869565215,10.909090909090908,10,0,1,-1,100,240,12.499999999999943,44.5
1514,2018-05-20,20,6,11452.222222222223,600,0,868.0,887.0,-19,1.0,6,62,62,5.806451612903226,9.67741935483871,15,18,0,1,360,600,30.5,46.69999999999999
1515,2018-05-20,20,6,13852.22222222222,600,1,877.0,897.0,-20,0.5,5,89,89,5.280898876404494,3.595505617977528,9,7,1,0,470,320,44.099999999999966,30.600000000000023
1516,2018-05-20,20,6,14356.388888888889,600,1,877.0,911.0,-34,0.0,8,76,76,4.7368421052631575,6.447368421052632,11,0,0,-1,360,490,34.39999999999998,33.69999999999999
1517,2018-05-20,20,6,16306.111111111111,600,0,869.0,870.0,-1,0.5,1,50,50,3.2,3.4,13,4,0,1,160,170,11.0,13.5
1518,2018-05-20,20,6,16408.05555555556,600,1,869.0,822.0,47,1.0,8,29,28,10.344827586206897,10.0,10,0,0,-1,300,280,65.5,44.39999999999998
1519,2018-05-20,20,6,16745.555555555555,300,0,876.0,1111.0,-235,1.0,2,11,11,2.727272727272727,2.727272727272727,0,0,-1,-1,30,30,7.300000000000011,9.699999999999989
1520,2018-05-20,20,6,16767.5,300,1,889.0,1558.0,-669,0.0,8,31,31,9.67741935483871,3.5483870967741935,0,9,-1,1,300,110,46.5,10.5
1521,2018-05-20,20,6,16888.88888888889,300,0,889.0,683.0,206,1.0,7,35,35,6.0,7.714285714285714,21,7,0,1,210,270,19.200000000000017,25.30000000000001
1522,2018-05-20,20,6,17024.722222222223,300,0,893.0,1279.0,-386,0.0,8,17,18,5.882352941176471,5.555555555555555,0,0,-1,-1,100,100,13.0,11.300000000000011
1523,2018-05-20,20,6,17084.444444444445,300,0,891.0,1054.0,-163,0.0,8,15,16,4.0,2.5,12,11,1,1,60,40,23.600000000000023,8.600000000000023
1524,2018-05-20,20,6,17120.0,300,1,886.0,1596.0,-710,0.0,8,34,34,7.352941176470588,6.176470588235294,11,0,1,-1,250,210,47.599999999999994,20.69999999999999
